country,NRG,GDP
Belgium,56727.50,395242.00
Bulgaria,16763.70,41047.90
Czech_R,42191.30,156932.60
Denmark,18101.20,252938.90
Germany ,324271.50,2809480.00
Estonia,6702.70,18738.80
Ireland,13737.30,174791.30
Greece,24358.30,182438.30
Spain,118778.80,1049181.00
France,259297.20,2116565.00
Croatia,7825.60,43561.50
Italy,160007.10,1609462.20
Cyprus,2189.30,18118.90
Latvia,4465.80,23265.00
Lithuania,6687.40,34955.60
Luxembourg,4337.40,46315.30
Hungary,22741.10,100536.50
Malta,839.00,7508.30
Netherlands,81170.90,650857.00
Austria,33762.40,322878.30
Poland,98158.70,396111.50
Portugal,22611.90,169394.90
Romania,32346.00,144282.20
Slovenia,6871.30,36144.00
Slovakia,17261.40,73593.20
Finland,33925.60,202743.00
Sweden,49134.00,436342.40
UK,201054.10,2017193.80
Norway,33660.80,393096.40
FYR_Macedonia,2746.00,8119.60
Serbia,14992.90,34259.90
